Name;Location;Audience;Audience_Qaulity;Price1;Post_kind1;Price2;Post_kind2;Price3;Post_kind3;Price4;Post_kind4
Екатерина;Москва, Россия;8 485;<span>23%</span>;4 381 ₽;Пост + Stories;2 190 ₽;Серия Stories (3-5);3 066 ₽;Пост в ленте;1 314 ₽;Stories
Илона;Москва, Россия;3 927;<span>36%</span>;2 356 ₽;Пост + Stories;1 178 ₽;Серия Stories (3-5);1 649 ₽;Пост в ленте;706 ₽;Stories
Анна;Москва, Россия;11 093;<span>33%</span>;5 288 ₽;Пост + Stories;2 644 ₽;Серия Stories (3-5);3 701 ₽;Пост в ленте;1 586 ₽;Stories
Ульяна;Санкт-Петербург, Россия;987;<span>29%</span>;592 ₽;Пост + Stories;296 ₽;Серия Stories (3-5);414 ₽;Пост в ленте;177 ₽;Stories
Юлия;Москва, Россия;9 246;<span>43%</span>;4 605 ₽;Пост + Stories;2 302 ₽;Серия Stories (3-5);3 223 ₽;Пост в ленте;1 381 ₽;Stories
Наталья;Ростов-на-Дону, Россия;1 556;<span>43%</span>;933 ₽;Пост + Stories;466 ₽;Серия Stories (3-5);653 ₽;Пост в ленте;279 ₽;Stories
Екатерина;Москва, Россия;28 142;<span>23%</span>;11 976 ₽;Пост + Stories;5 988 ₽;Серия Stories (3-5);8 383 ₽;Пост в ленте;3 592 ₽;Stories
Наталья;Новосибирск, Россия;8 205;<span>22%</span>;4 292 ₽;Пост + Stories;2 146 ₽;Серия Stories (3-5);3 004 ₽;Пост в ленте;1 287 ₽;Stories
Виктория;Москва, Россия;4 812;<span>21%</span>;2 887 ₽;Пост + Stories;1 443 ₽;Серия Stories (3-5);2 020 ₽;Пост в ленте;866 ₽;Stories
Сергей;Москва, Россия;21 009;<span>33%</span>;9 390 ₽;Пост + Stories;4 695 ₽;Серия Stories (3-5);6 573 ₽;Пост в ленте;2 817 ₽;Stories
Виктория;Санкт-Петербург, Россия;2 926;<span>29%</span>;1 755 ₽;Пост + Stories;877 ₽;Серия Stories (3-5);1 228 ₽;Пост в ленте;526 ₽;Stories
Евгений;Москва, Россия;662;<span>23%</span>;397 ₽;Пост + Stories;198 ₽;Серия Stories (3-5);277 ₽;Пост в ленте;119 ₽;Stories
Лилия;Москва, Россия;8 777;<span>37%</span>;4 470 ₽;Пост + Stories;2 235 ₽;Серия Stories (3-5);3 129 ₽;Пост в ленте;1 341 ₽;Stories
Татьяна;Краснодар, Россия;5 197;<span>38%</span>;3 093 ₽;Пост + Stories;1 546 ₽;Серия Stories (3-5);2 165 ₽;Пост в ленте;927 ₽;Stories
Ирина;Москва, Россия;7 742;<span>15%</span>;4 135 ₽;Пост + Stories;2 067 ₽;Серия Stories (3-5);2 894 ₽;Пост в ленте;1 240 ₽;Stories
Татьяна;Москва, Россия;10 804;<span>23%</span>;5 160 ₽;Пост + Stories;2 580 ₽;Серия Stories (3-5);3 611 ₽;Пост в ленте;1 548 ₽;Stories
Александр;Москва, Россия;3 318;<span>26%</span>;1 990 ₽;Пост + Stories;995 ₽;Серия Stories (3-5);1 393 ₽;Пост в ленте;597 ₽;Stories
Елена;Ефремов, Россия;3 423;<span>44%</span>;2 054 ₽;Пост + Stories;1 027 ₽;Серия Stories (3-5);1 437 ₽;Пост в ленте;616 ₽;Stories
Алена;Москва, Россия;2 100;<span>32%</span>;1 260 ₽;Пост + Stories;630 ₽;Серия Stories (3-5);882 ₽;Пост в ленте;378 ₽;Stories
Tatiana;Москва, Россия;27 391;<span>21%</span>;11 719 ₽;Пост + Stories;5 859 ₽;Серия Stories (3-5);8 203 ₽;Пост в ленте;3 515 ₽;Stories
Олеся;Москва, Россия;148 267;<span>26%</span>;43 526 ₽;Пост + Stories;21 763 ₽;Серия Stories (3-5);30 468 ₽;Пост в ленте;13 057 ₽;Stories
Евгения;Санкт-Петербург, Россия;47 425;<span>31%</span>;17 439 ₽;Пост + Stories;8 719 ₽;Серия Stories (3-5);12 207 ₽;Пост в ленте;5 231 ₽;Stories
Дмитрий;Москва, Россия;30 855;<span>27%</span>;12 879 ₽;Пост + Stories;6 439 ₽;Серия Stories (3-5);9 015 ₽;Пост в ленте;3 863 ₽;Stories
Оксана;Москва, Россия;2 631;<span>33%</span>;1 579 ₽;Пост + Stories;789 ₽;Серия Stories (3-5);1 105 ₽;Пост в ленте;473 ₽;Stories
Tanya;Москва, Россия;2 309;<span>10%</span>;1 386 ₽;Пост + Stories;693 ₽;Серия Stories (3-5);970 ₽;Пост в ленте;415 ₽;Stories
Екатерина;Москва, Россия;3 752;<span>15%</span>;2 251 ₽;Пост + Stories;1 125 ₽;Серия Stories (3-5);1 575 ₽;Пост в ленте;675 ₽;Stories
Ирина;Москва, Россия;7 879;<span>24%</span>;4 186 ₽;Пост + Stories;2 093 ₽;Серия Stories (3-5);2 930 ₽;Пост в ленте;1 255 ₽;Stories
Андрей;Санкт-Петербург, Россия;832;<span>23%</span>;499 ₽;Пост + Stories;249 ₽;Серия Stories (3-5);349 ₽;Пост в ленте;149 ₽;Stories
Алена;Москва, Россия;8 576;<span>31%</span>;4 410 ₽;Пост + Stories;2 205 ₽;Серия Stories (3-5);3 087 ₽;Пост в ленте;1 323 ₽;Stories
Алексей;Санкт-Петербург, Россия;121 600;<span>12%</span>;36 129 ₽;Пост + Stories;18 064 ₽;Серия Stories (3-5);25 290 ₽;Пост в ленте;10 838 ₽;Stories
Татьяна;Москва, Россия;4 189;<span>23%</span>;2 514 ₽;Пост + Stories;1 257 ₽;Серия Stories (3-5);1 759 ₽;Пост в ленте;754 ₽;Stories
Марина;Тула, Россия;943;<span>22%</span>;566 ₽;Пост + Stories;283 ₽;Серия Stories (3-5);396 ₽;Пост в ленте;169 ₽;Stories
Anna;Санкт-Петербург, Россия;1 485;<span>23%</span>;891 ₽;Пост + Stories;445 ₽;Серия Stories (3-5);623 ₽;Пост в ленте;267 ₽;Stories
Анастасия;Москва, Россия;7 904;<span>37%</span>;4 191 ₽;Пост + Stories;2 095 ₽;Серия Stories (3-5);2 933 ₽;Пост в ленте;1 257 ₽;Stories
Светлана;Москва, Россия;7 378;<span>41%</span>;4 005 ₽;Пост + Stories;2 002 ₽;Серия Stories (3-5);2 803 ₽;Пост в ленте;1 201 ₽;Stories
Елена;Санкт-Петербург, Россия;4 951;<span>31%</span>;2 971 ₽;Пост + Stories;1 485 ₽;Серия Stories (3-5);2 079 ₽;Пост в ленте;891 ₽;Stories
Виктория;Москва, Россия;110 761;<span>41%</span>;33 069 ₽;Пост + Stories;16 534 ₽;Серия Stories (3-5);23 148 ₽;Пост в ленте;9 920 ₽;Stories
Татьяна;Москва, Россия;2 581;<span>37%</span>;1 549 ₽;Пост + Stories;774 ₽;Серия Stories (3-5);1 084 ₽;Пост в ленте;464 ₽;Stories
Ольга;Москва, Россия;3 557;<span>42%</span>;2 134 ₽;Пост + Stories;1 067 ₽;Серия Stories (3-5);1 493 ₽;Пост в ленте;640 ₽;Stories
Антон;Москва, Россия;3 291;<span>32%</span>;1 975 ₽;Пост + Stories;987 ₽;Серия Stories (3-5);1 382 ₽;Пост в ленте;592 ₽;Stories
Ксения;Санкт-Петербург, Россия;2 984;<span>24%</span>;1 790 ₽;Пост + Stories;895 ₽;Серия Stories (3-5);1 253 ₽;Пост в ленте;537 ₽;Stories
Екатерина;Москва, Россия;53 413;<span>44%</span>;19 010 ₽;Пост + Stories;9 505 ₽;Серия Stories (3-5);13 307 ₽;Пост в ленте;5 703 ₽;Stories
Наталия;Санкт-Петербург, Россия;8 223;<span>42%</span>;4 297 ₽;Пост + Stories;2 148 ₽;Серия Stories (3-5);3 007 ₽;Пост в ленте;1 289 ₽;Stories
Анастасия;Подольск, Россия;1 371;<span>17%</span>;823 ₽;Пост + Stories;411 ₽;Серия Stories (3-5);576 ₽;Пост в ленте;246 ₽;Stories
Елена;Москва, Россия;3 594;<span>21%</span>;2 066 ₽;Пост + Stories;1 033 ₽;Серия Stories (3-5);1 446 ₽;Пост в ленте;619 ₽;Stories
